orderNumber,postingId,moment,isReturned,returnReason
78116842-0251,xxxxx4318407000,2026-02-28 21:06:01,1,Изменил решение о покупке/Товар не подошёл
78116842-0251,xxxxx4318415000,2026-02-28 21:06:01,1,Изменил решение о покупке/Товар не подошёл
78116842-0251,xxxxx4318414000,2026-02-28 21:06:01,0,
78116842-0257,xxxxx1242296000,2026-02-28 21:06:01,0,
78116842-0253,xxxxx1692060000,2026-02-28 21:06:01,0,
65927862-0450,xxxxx8118761000,2026-02-28 20:05:50,0,
65927862-0450,xxxxx8119524000,2026-02-28 20:05:50,0,
65927862-0450,xxxxx8119525000,2026-02-28 20:05:50,0,
65927862-0450,xxxxx8118760000,2026-02-28 20:05:50,0,
47763717-0229,xxxxx2314526000,2026-02-28 20:05:43,0,
47763717-0228,xxxxx5134933000,2026-02-28 20:05:43,1,Отказ клиента при передаче
80757670-0029,xxxxx2462082000,2026-02-28 19:50:34,1,Привезли другой товар
80757670-0029,xxxxx0362172000,2026-02-28 19:50:34,1,Привезли другой товар
80757670-0030,xxxxx8113876000,2026-02-28 19:50:33,0,
80757670-0028,xxxxx5516416000,2026-02-28 19:50:33,0,
51545990-0365,xxxxx2981444000,2026-02-28 19:00:18,0,
51545990-0364,xxxxx2968436000,2026-02-28 19:00:18,0,
51545990-0367,xxxxx0152312000,2026-02-28 19:00:18,1,Изменил решение о покупке/Товар не подошёл
40202359-0058,xxxxx4376111000,2026-02-28 18:14:43,0,
55046831-0142,xxxxx9335835000,2026-02-28 18:09:34,0,
55046831-0143,xxxxx0456966000,2026-02-28 18:09:34,0,
55046831-0141,xxxxx3822259000,2026-02-28 18:09:34,0,
35879894-0024,xxxxx7282472000,2026-02-28 18:02:39,0,
0174040321-0115,xxxxx3021274000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0115,xxxxx3022364000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0113,xxxxx3968150000,2026-02-28 17:38:55,0,
0174040321-0115,xxxxx3021273000,2026-02-28 17:38:55,0,
0174040321-0116,xxxxx8410507000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0116,xxxxx8410506000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0116,xxxxx8410511000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0117,xxxxx2040506000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0117,xxxxx2040504000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0114,xxxxx7054984000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0114,xxxxx3662690000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
0174040321-0114,xxxxx7054982000,2026-02-28 17:38:55,1,Изменил решение о покупке/Товар не подошёл
37371712-0256,xxxxx5939721000,2026-02-28 17:38:16,1,Изменил решение о покупке/Товар не подошёл
37371712-0256,xxxxx0581976000,2026-02-28 17:38:15,0,
37371712-0260,xxxxx9993238000,2026-02-28 17:38:15,0,
37371712-0259,xxxxx0801455000,2026-02-28 17:38:14,1,Изменил решение о покупке/Товар не подошёл
37371712-0259,xxxxx0801459000,2026-02-28 17:38:14,1,Изменил решение о покупке/Товар не подошёл
37371712-0261,xxxxx7016485000,2026-02-28 17:38:14,0,
0122237308-0011,xxxxx1278382000,2026-02-28 17:31:25,0,
0151219954-0084,xxxxx6288974000,2026-02-28 17:14:10,0,
0151219954-0086,xxxxx0829313000,2026-02-28 17:14:09,1,Изменил решение о покупке/Товар не подошёл
0151219954-0085,xxxxx3692687000,2026-02-28 17:14:09,1,Изменил решение о покупке/Товар не подошёл
0151219954-0085,xxxxx3692691000,2026-02-28 17:14:09,1,Изменил решение о покупке/Товар не подошёл
66188280-0032,xxxxx9071549000,2026-02-28 16:54:57,1,Изменил решение о покупке/Товар не подошёл
34128709-0205,xxxxx0081825000,2026-02-28 16:45:37,1,Проблемы с качеством товара (брак товара)
34128709-0205,xxxxx1649370000,2026-02-28 16:45:37,1,Изменил решение о покупке/Товар не подошёл
34128709-0205,xxxxx1649365000,2026-02-28 16:45:37,1,Проблемы с качеством товара (брак товара)
71265880-0248,xxxxx2056587000,2026-02-28 16:44:19,0,
76160766-0984,xxxxx3284497000,2026-02-28 16:15:31,0,
76160766-0987,xxxxx1355776000,2026-02-28 16:15:31,1,Изменил решение о покупке/Товар не подошёл
0163304184-0112,xxxxx9588092000,2026-02-28 16:11:23,0,
0163304184-0112,xxxxx9588096000,2026-02-28 16:11:23,0,
0163304184-0112,xxxxx4803431000,2026-02-28 16:11:23,0,
0163304184-0119,xxxxx3545296000,2026-02-28 16:11:23,0,
0163304184-0119,xxxxx3544205000,2026-02-28 16:11:23,0,
0163304184-0114,xxxxx7700105000,2026-02-28 16:11:23,0,
94649943-0188,xxxxx7519855000,2026-02-28 16:10:12,0,
94649943-0186,xxxxx4375759000,2026-02-28 16:10:12,0,
0143279608-0067,xxxxx7721464000,2026-02-28 14:58:36,0,
0145014543-0176,xxxxx5712117000,2026-02-28 14:58:29,0,
65717119-0126,xxxxx3288750000,2026-02-28 14:42:10,0,
44863504-0322,xxxxx0229179000,2026-02-28 14:24:30,0,
44863504-0316,xxxxx8013220000,2026-02-28 14:24:30,0,
44863504-0319,xxxxx6611271000,2026-02-28 14:24:29,0,
0123559383-0004,xxxxx4219128000,2026-02-28 14:22:39,0,
0123559383-0004,xxxxx4218718000,2026-02-28 14:22:39,0,
0123559383-0005,xxxxx3412194000,2026-02-28 14:22:39,0,
82852658-0097,xxxxx0702108000,2026-02-28 14:07:49,0,
93598552-0006,xxxxx0581769000,2026-02-28 13:59:23,0,
93598552-0006,xxxxx0583031000,2026-02-28 13:59:23,0,
93598552-0006,xxxxx0581768000,2026-02-28 13:59:23,0,
0126845061-0028,xxxxx8061974000,2026-02-28 13:46:09,1,Изменил решение о покупке/Товар не подошёл
0126845061-0030,xxxxx4464180000,2026-02-28 13:46:09,0,
49001475-0210,xxxxx1840387000,2026-02-28 13:32:17,0,
49001475-0210,xxxxx1840388000,2026-02-28 13:32:17,0,
